"p_year","regio_pat","Swiss_based","commuters","share"
1990,"Central Switzerland",153.783333333333,0.5,1.00325132762545
1990,"Eastern Switzerland",303.185714285714,9.24285714285714,1.03048579371437
1990,"Espace Mittelland",357.185714285714,0,1
1990,"Lake Geneva Region",306.8,5.91666666666667,1.01928509343764
1990,"Northwestern Switzerland",443.178174603175,65.9642857142857,1.14884371454743
1990,"Ticino",65.9166666666667,3,1.04551201011378
1990,"Zürich",569.179700854701,17.25,1.03030677301755
1991,"Central Switzerland",123.333333333333,2.03571428571429,1.01650579150579
1991,"Eastern Switzerland",292.161904761905,11.4357142857143,1.0391417022525
1991,"Espace Mittelland",329.475,2,1.00607026329767
1991,"Lake Geneva Region",263.039682539683,5.75,1.02185981956974
1991,"Northwestern Switzerland",448.012770562771,55.9940476190476,1.12498315070062
1991,"Ticino",90.3833333333333,9.16666666666667,1.10141987829615
1991,"Zürich",561.546031746032,23.0095238095238,1.0409753119223
1992,"Central Switzerland",204.890909090909,9.05,1.0441698464815
1992,"Eastern Switzerland",331.088095238095,11.0833333333333,1.03347548127746
1992,"Espace Mittelland",375.741666666667,1.5,1.00399210450442
1992,"Lake Geneva Region",270.938095238095,10.5333333333333,1.03887726945182
1992,"Northwestern Switzerland",458.909271284271,67.9188311688312,1.14800056442259
1992,"Ticino",77.5333333333333,10.3333333333333,1.13327601031814
1992,"Zürich",550.275793650794,23.25,1.04225154053343
1993,"Central Switzerland",159.042857142857,1.91666666666667,1.01205125901973
1993,"Eastern Switzerland",296.795670995671,13.8261904761905,1.04658487918576
1993,"Espace Mittelland",374.912337662338,2.08333333333333,1.00555685456052
1993,"Lake Geneva Region",253.180952380952,8.36666666666667,1.03304619319892
1993,"Northwestern Switzerland",458.607104007104,60.3857142857143,1.13167199931726
1993,"Ticino",63.8666666666667,12.5833333333333,1.19702505219207
1993,"Zürich",522.578221778222,14.9388888888889,1.02858689525571
1994,"Central Switzerland",207.862301587302,5.625,1.02706118404851
1994,"Eastern Switzerland",297.073448773449,17.75,1.05974953356918
1994,"Espace Mittelland",374.732178932179,0,1
1994,"Lake Geneva Region",300.915873015873,7.03333333333333,1.02337308850757
1994,"Northwestern Switzerland",509.544960594961,79.8930375180375,1.15679291072716
1994,"Ticino",64.35,16.6666666666667,1.25900025900026
1994,"Zürich",498.834462759463,10.131746031746,1.02031083813997
1995,"Central Switzerland",181.686904761905,7.25,1.039903811502
1995,"Eastern Switzerland",327.090079365079,19.9,1.06083950952786
1995,"Espace Mittelland",382.608959670598,1.725,1.00450851961618
1995,"Lake Geneva Region",311.363492063492,8.25,1.02649636264459
1995,"Northwestern Switzerland",496.92028903033,94.1196280027162,1.18940588677991
1995,"Ticino",63.0452380952381,13.3333333333333,1.2114883492579
1995,"Zürich",518.302813852814,17.0428571428571,1.03288204633922
1996,"Central Switzerland",191.634523809524,8.51515151515152,1.04443432919016
1996,"Eastern Switzerland",336.765115440115,21.7833333333333,1.0646840552498
1996,"Espace Mittelland",411.13376433508,3.58333333333333,1.00871573595793
1996,"Lake Geneva Region",338.383802308802,11.2202380952381,1.03315831910003
1996,"Northwestern Switzerland",518.939155654287,108.004761904762,1.20812606011313
1996,"Ticino",86.3045454545454,14.5333333333333,1.16839592001545
1996,"Zürich",534.018759018759,32.725,1.06128061879349
1997,"Central Switzerland",211.749639249639,16.5621794871795,1.07821585692363
1997,"Eastern Switzerland",426.242857142857,38.875,1.09120387438415
1997,"Espace Mittelland",543.855591630592,2.66666666666667,1.00490326238749
1997,"Lake Geneva Region",402.823076923077,15.4333333333333,1.03831293244473
1997,"Northwestern Switzerland",534.855097680098,86.770177045177,1.16223118639336
1997,"Ticino",75.3111111111111,12.6666666666667,1.16819120684568
1997,"Zürich",636.578607503607,28.8690476190476,1.04535032638351
1998,"Central Switzerland",230.235714285714,23.0928571428571,1.10030093382558
1998,"Eastern Switzerland",456.115873015873,20.7984126984127,1.04559896712406
1998,"Espace Mittelland",545.796663059163,2.44444444444444,1.00447867238825
1998,"Lake Geneva Region",375.33373015873,15,1.03996443376847
