"p_year","Swiss_based","commuters","share"
1990,2226.4543040293,110.790476190476,1.04976094770505
1991,2125.64967532468,113.891666666667,1.05357969753378
1992,2297.24621212121,146.545021645022,1.06379160443134
1993,2157.03777888778,121.234126984127,1.05620398871578
1994,2284.81106116106,147.533116883117,1.06457125466127
1995,2308.11875723161,169.213675621764,1.07331237835644
1996,2441.48918983064,214.117929292929,1.08769972448978
1997,2862.75050505051,217.634737484737,1.07602294964258
1998,3080.08423243423,204.201587301587,1.06629740354218
1999,3207.02808077715,238.60516983017,1.07440071113202
2000,3394.31822856882,247.44062049062,1.07289847439995
2001,3439.29827476445,265.60346042846,1.07722606160021
2002,3265.61825994635,284.346212121212,1.08707270399875
2003,3406.55251599192,309.948218448218,1.09098589174633
2004,3702.14986168785,282.635140590404,1.07634351691575
2005,3850.83579796766,375.871198246198,1.09760769297007
2006,3887.07269711283,402.587104562105,1.10357076801294
2007,3929.36707722102,377.841570929071,1.09615837958216
2008,4037.87266813555,406.570719803073,1.10068933649431
2009,4052.59397760464,364.726742701743,1.08999834296682
2010,4417.14819347319,388.950985125985,1.08805477382459
2011,4508.26339355089,463.799996816909,1.10287775055033
2012,4699.09483379093,430.814123376623,1.09168023600602
2013,4798.5452064246,393.580683205683,1.08202083470605
2014,4707.69489243986,406.518222055722,1.08635186250251
2015,4548.10967579753,410.823257706346,1.09032835331402
2016,3572.66207600879,262.330355244171,1.0734271391089
2017,1894.80046897547,162.952777777778,1.08599996698644
2018,93.0301587301587,9.41666666666667,1.10122165537716
2019,3.18333333333333,0.5,1.15706806282723
